"1";"SA PAGANAY";"Does the child refuse to drink or take breastmilk?";"Ayaw ba uminom ng bata ng gatas galing sa nanay?";"1";"Yes, No";"Ayaw, Umiinom naman"
"2";"SA PAGANAY";"Does the child vomit everything?";"Lahat ba ng kinakain ng bata ay sinusuka niya?";"1";"Yes, No";"Oo, Hindi"
"3";"SA PAGANAY";"Is the child experiencing seizures?";;"1";"Yes, No";"Oo, Hindi"
"4";"SA PAGANAY";"Is the child sleepy or cannot be awakened easily?";"Antukin ba ang bata o mahirap gisingin?";"1";"Yes, No";"Oo, Hindi"
"5";"SA PAGANAY";"Does the child find it hard to breathe?";"Hirap ba sa paghinga ang bata?";"1";"Yes, No";"Oo, Hindi"
"6";"FEVER";"Does the patient suffer from fever in the last three days?";"Nilalagnat ba ang pasyente nitong nakaraang tatlong araw?";"0";"Yes, No";"Oo, Hindi"
"7";"FEVER";"Are there signs of ear drainage?";"May problema ba sa kanyang tenga?";"0";"Yes, No";"Oo, Hindi"
"8";"FEVER";"Are there signs of cold symptoms?";"Sinisipon ba ang pasyente?";"0";"Yes, No";"Oo, Hindi"
"9";"FEVER";"Are there signs of cough?";"Inuubo ba ang pasyente?";"0";"Yes, No";"Oo, Hindi"
"10";"FEVER";"Are there signs of rashes, measles, etc?";;"0";"Yes, No";"Meron, Wala"
"11";"FEVER";"Does the patient feel any pain when urinating?";"Masakit ba kapag umiihi?";"0";"Yes, No";"Oo, Hindi"
"12";"FEVER";"Are there any visible infections on the body?";"Meron ba mga nakikitang impeksyon sa katawan?";"1";"Yes, No";"Meron, Wala"
"13";"FEVER/TYPHOID";"Do you experience fever everyday for a week or more and does it come on gradually?";"Nilalagnat ka ba araw-araw sa isang linggo o mahigit at pabalik-balik ang lagnat?";"1";"Yes, No";"Oo, Hindi"
"14";"FEVER/TYPHOID";"Does your fever respond to Paracetamol?";"Tumatalab ba ang Paracetamol sa iyong lagnat?";"1";"Yes, No";"Hindi tumatalab, Tumatalab"
